# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
22,3684,1.226152,2.301563,3.862662
22,3684,0.719866,1.605601,3.170089
22,3684,0.686162,1.436396,3.034121
23,3993,1.485853,2.684633,6.047447
23,3993,1.258259,2.216227,4.949277
21,3732,0.962750,2.398492,3.878523
23,3993,0.739377,1.843945,3.699935
23,3993,0.679667,1.623185,2.661174
24,4295,1.747051,3.261960,6.042707
24,4295,1.235146,2.188311,4.443198
22,4034,1.190525,2.122287,3.257403
22,4034,0.763916,1.797597,2.277431
22,4039,1.389955,3.457395,5.205508
25,4372,1.235028,2.586928,3.291552
25,4372,1.119678,1.816547,3.035504
25,4372,0.705695,1.416302,2.262948
23,4137,1.528579,3.233769,6.458233
23,4137,1.030501,1.983483,4.054656
23,4136,1.178761,2.177497,3.373427
24,4208,0.701038,1.704522,2.608875
24,4284,1.395863,2.795824,5.834142
25,4356,1.733803,2.998962,4.031086
25,4356,1.032716,1.902240,2.758255
24,4284,0.748777,1.602350,2.389163
25,4430,1.487513,2.486987,4.494558
24,4335,1.367683,2.165445,3.856686
24,4335,1.302112,2.328730,3.339563
22,4160,0.721684,1.724037,3.222485
24,4335,0.727696,1.731081,2.681537
24,4455,1.433700,2.542257,5.186157
23,4451,1.249116,2.609843,3.883897
17,3564,0.983728,2.230038,3.548693
19,3993,0.683418,1.712100,2.662481
24,4608,1.547565,3.366515,5.376325
26,4612,1.440707,2.433271,3.680173
18,4111,0.663139,1.565258,2.926772
19,3840,0.649831,1.427842,2.307640
24,4683,1.487375,2.634086,6.192149
19,3862,1.225161,2.205406,3.532006
19,3862,0.665904,1.669902,3.587463
21,4119,0.693254,1.589182,2.670729
22,4228,0.680025,1.548574,2.729479
20,4112,1.311788,2.884860,4.977544
21,4231,1.426111,2.544226,4.613531
17,3655,1.023067,2.412531,4.135420
17,3655,0.628216,1.779228,3.079341
15,3307,0.534691,1.549224,2.228075
16,3604,1.432828,2.833450,8.041953
16,3604,0.962517,2.308270,4.730582
21,4409,1.263016,2.670487,3.428210
21,4409,0.664604,1.872331,2.221790
22,4440,1.429383,2.667140,4.629955
22,4440,1.326319,2.057476,3.292142
22,4440,0.711464,1.371273,2.148515
25,4806,0.758019,1.312195,1.414034
26,4779,1.438978,2.300903,4.313441
22,4268,1.108413,2.427388,3.702087
22,4268,0.941753,1.566118,2.262075
18,3571,1.149754,2.590333,6.002563
24,4550,1.221399,2.330170,3.829516
24,4550,0.729385,1.741463,3.163539
23,4405,0.699922,1.501287,2.665625
28,4881,1.520907,3.125480,4.965391
28,4880,1.211222,2.592427,3.375713
24,4369,0.981407,1.604182,2.580203
25,4385,1.380000,2.248557,4.915496
20,3551,1.052960,1.937163,4.259094
20,3551,1.055802,1.852515,3.635431
20,3551,0.655082,1.405547,3.278746
20,3551,0.611245,1.250044,3.051608
20,3552,1.218403,2.350576,6.248444
20,3552,1.038851,1.978022,3.891029
21,3685,1.202898,2.231472,4.416340
21,3685,0.634926,1.539228,3.505663
21,3685,0.626547,1.476167,3.388785
26,4677,1.537722,2.583333,6.182914
26,4667,1.412101,2.538358,4.500837
22,3974,1.218352,2.527550,4.386457
22,3974,0.702929,1.957283,3.585630
22,3974,0.623266,1.770946,3.113480
21,3841,0.620881,1.687080,3.167619
23,4249,1.366478,3.002749,6.668179
23,4249,1.129226,2.934967,5.086465
22,4116,1.167426,2.571339,4.206313
23,4249,0.717327,2.021777,4.156792
23,4249,0.705178,1.874677,3.059572
22,4116,0.656591,1.733592,2.378131
24,4365,1.374212,2.348088,4.701902
24,4365,1.401756,2.620236,4.062483
24,4365,0.803556,1.860057,3.385452
23,4232,0.666639,1.488389,2.654014
24,4365,0.660056,1.422300,2.143133
24,4391,1.527842,3.001634,6.799933
23,4259,1.174103,2.041427,4.562175
24,4391,1.251802,2.222810,3.774587
25,4524,0.754232,1.778441,3.329631
25,4524,0.747900,1.587108,2.654102
25,4524,0.695971,1.525979,2.459332
26,4635,1.412836,2.864932,6.523910
26,4635,1.172973,2.608000,3.966454
26,4635,1.352925,2.573064,3.620374
26,4635,0.792036,1.847345,2.709429
26,4635,0.706446,1.664127,2.454784
26,4545,1.388935,2.751227,4.938291
27,4678,1.351998,3.191564,4.321604
28,4663,1.293185,3.172954,5.750643
