#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
81.771986,11,9,2005,5440
120.749561,10,11,2015,5363
71.630864,9,12,1856,4596
104.849459,10,12,1944,4895
69.076994,9,14,1755,4479
107.948219,11,13,1949,5176
116.357043,12,13,2106,5552
87.816097,12,14,2173,5587
124.228596,12,15,2304,5898
88.628772,12,16,2179,5545
104.650699,10,19,1904,4972
76.940499,10,20,1859,4957
106.540779,10,21,1968,4990
89.852792,10,22,2003,5024
79.306613,10,23,1936,5103
84.083262,11,23,2014,5464
94.275675,13,22,2219,6095
115.716409,11,25,2084,5579
92.465985,11,26,2241,6092
120.767721,11,27,2136,5779
153.250228,15,24,2519,7055
134.196316,13,27,2283,6473
108.734240,14,27,2494,6986
158.990737,15,27,2697,7487
105.994401,13,30,2479,6846
111.403958,14,30,2574,7190
113.628687,15,30,2536,7538
139.165774,16,30,2572,8011
108.066149,13,34,2273,7231
109.077089,15,33,2484,8116
118.450388,15,34,2507,8404
180.757723,16,34,2602,8970
149.430794,18,33,2857,9908
208.560591,18,34,2904,10124
159.890777,18,35,3052,10573
150.469717,15,39,2732,9253
111.861655,9,46,2134,7184
96.984191,5,51,1660,4895
63.859049,4,44,1315,2962
37.523256,4,12,1148,2298
57.573626,31,32,4185,15701
119.736179,32,32,4157,16136
498.558238,34,32,4237,17266
348.490737,35,32,4339,17940
419.408105,33,21,4078,16764
337.723829,36,28,4373,18114
321.347283,32,19,3904,17118
466.661053,35,28,4107,18912
298.771939,30,24,3769,18116
208.400642,30,25,3877,18434
48.614599,25,24,3586,17235
241.148882,23,26,3413,16143
201.761869,21,29,2859,12791
185.485722,21,30,2911,12585
183.903048,20,32,2969,12494
132.902082,22,31,2994,13044
105.877413,21,32,2891,13051
216.470563,22,32,3005,13534
162.648759,16,39,2717,11584
140.475951,14,42,2652,10420
149.453709,14,43,2532,10124
117.755392,13,44,2249,8712
156.559585,13,43,2282,8281
125.436610,14,43,2454,8859
158.570255,13,43,2397,8100
116.497610,13,43,2371,7886
138.975966,15,43,2647,8955
140.622732,16,43,2762,9351
129.447500,15,44,2485,8527
132.963269,16,44,2572,8964
134.086992,15,45,2503,8761
105.926490,14,29,2465,8819
189.778006,16,29,2552,9466
153.913627,17,46,2767,10443
156.314017,16,29,2704,9869
211.170746,17,29,2921,10368
160.723744,18,29,3066,10763
186.207779,18,29,3053,10774
184.315369,19,29,3080,10985
163.018500,18,30,3110,10729
170.125549,19,30,3151,10980
161.287270,20,30,3114,11187
148.979192,20,31,3142,11538
182.944771,21,31,3255,11977
176.684087,21,23,3310,11398
164.906364,19,23,3304,10605
178.483543,19,24,3353,10825
191.433744,12,28,2651,8486
133.452249,10,28,2214,6969
96.740891,10,27,2254,7037
118.741416,12,27,2559,7874
98.166159,12,28,2295,6741
87.840662,12,27,2094,5959
123.959963,11,29,2032,5766
72.237569,9,32,1854,4580
97.929814,9,33,1913,4599
95.683963,9,34,1867,4561
68.164301,8,36,1794,4264
70.862749,9,36,1765,4437
62.040774,5,31,1421,2895
57.334087,4,18,1298,2472
58.153114,5,18,1308,2728
69.773621,6,18,1571,3226
80.728605,7,18,1773,3657
82.163567,8,18,1710,3789
77.282028,8,18,1563,3638
62.629878,9,18,1550,3872
82.757542,10,18,1588,4161
74.248926,11,18,1755,4608
77.573262,12,18,1801,4903
90.607482,10,9,1554,4140
75.301581,12,11,1789,4917
75.512547,12,9,1781,4915
87.309607,13,9,2095,5472
129.907120,14,9,2270,5900
86.135819,12,11,2064,5471
92.016236,13,11,2072,5702
91.410151,13,12,2063,5997
102.968387,13,11,2111,6154
146.955353,14,11,2300,6688
123.415053,15,11,2441,7167
124.829872,16,11,2610,7688
121.116354,16,11,2608,7757
