#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
19.650372,0.239779,75.911805,98.657602,3.829175,198.289457
18.851736,0.288452,82.637221,38.907644,2.570603,143.256547
23.332198,0.245652,78.338601,104.355349,4.016407,210.288674
21.566512,0.257163,87.270223,92.187640,4.127846,205.409957
23.797120,0.348315,79.130722,97.869746,4.528354,205.675088
21.180945,0.427767,73.617348,89.127168,3.645292,187.999170
20.864990,0.308275,73.220415,98.612517,4.479329,197.486052
20.393802,0.308261,70.693922,92.575428,4.608221,188.580259
33.491243,0.257797,90.289426,121.685979,3.328387,249.053591
32.701599,0.449871,78.192054,112.677937,3.202144,227.224389
30.183885,0.471267,78.274576,108.992850,3.083611,221.007038
27.649438,0.506925,81.605482,172.312307,6.779735,288.858365
24.522172,0.717585,113.476800,115.195837,4.230644,258.143806
22.433526,0.492002,66.003114,85.683468,4.970618,179.583287
21.043115,0.479614,72.465269,73.037964,4.776853,171.803268
21.283056,0.379931,82.610830,80.779358,4.873543,189.927278
21.329057,0.397208,91.534781,124.826439,12.669790,250.757846
22.417209,0.666105,89.219051,96.663725,2.741388,211.708246
21.756341,0.418640,93.969528,108.958651,5.148290,230.252091
21.240722,0.408529,99.316796,90.005133,4.322447,215.294251
22.798649,0.469590,89.094723,98.197820,5.352482,215.913939
22.838328,0.579985,89.757427,147.381321,4.570940,265.128605
25.696760,0.505758,95.834947,109.668049,4.303381,236.009430
23.202379,0.511498,112.329179,139.270786,3.865353,279.179762
21.603479,0.601783,105.363909,151.795622,4.272084,283.637594
20.612400,0.665530,90.798014,132.657015,3.885793,248.619364
19.526485,0.592771,70.532278,79.614164,2.558144,172.824496
18.574503,0.450433,55.769709,79.445406,2.381535,156.622114
18.614620,0.429392,56.537015,100.421215,2.460448,178.463288
18.499091,0.480694,54.719999,100.046538,2.078780,175.825584
32.188237,0.793757,58.704676,92.932942,1.922939,186.543268
26.205385,0.511132,59.954511,76.284180,2.104082,165.059752
25.252901,1.682904,67.339553,133.704774,2.460427,230.446198
23.046529,0.632713,62.574237,79.246015,2.091461,167.591534
21.684351,0.487529,64.355191,82.708861,2.180109,171.416910
21.569155,0.964303,86.837956,126.081298,2.438412,237.891827
20.480878,0.542020,77.107760,96.124096,2.504010,196.759377
20.085952,0.583743,72.073211,143.407536,2.570744,238.721951
21.126650,0.579052,73.970484,106.456999,2.553817,204.687765
23.711911,0.536941,63.292715,102.395416,2.657900,192.595660
34.657458,0.656662,69.423168,115.072644,2.911363,222.722046
28.103219,0.456561,69.909768,115.475988,2.705404,216.651641
25.369152,0.495771,65.309409,90.072043,3.089563,184.336974
24.090266,0.527965,74.492220,90.867769,2.732116,192.711076
22.841759,0.440695,75.108368,98.151201,2.917222,199.460020
21.973381,0.420846,72.378171,94.396975,2.917277,192.087336
21.011162,0.398601,81.402415,95.063751,2.684809,200.561318
20.482623,0.448972,81.621082,76.040349,2.866021,181.459650
20.349688,0.557610,81.970867,116.302784,3.242225,222.423770
20.080824,0.861779,95.309242,118.788851,4.242085,239.283328
18.923976,0.873164,88.092552,111.039940,3.637694,222.567973
18.612750,0.698187,86.177309,112.027078,3.136382,220.652464
17.306267,0.599413,77.894931,109.765689,2.369874,207.936865
16.475677,0.585607,68.435014,60.755858,2.349765,148.602453
17.635169,0.470270,60.323793,73.920568,2.121034,154.471418
19.375060,0.363653,66.404534,57.722998,2.383181,146.250193
19.212910,0.355297,63.621509,66.385825,2.442846,152.019037
22.207696,1.804907,73.382949,114.945802,3.009755,215.355753
21.076372,0.659294,69.823884,121.472929,3.003866,216.037075
20.415532,0.525200,83.810677,145.816511,3.440205,254.008885
19.174867,0.506285,78.741664,146.328429,3.922474,248.674523
18.194141,0.631672,77.600238,174.413379,3.952740,274.792729
21.661453,0.621271,75.044211,111.628911,3.505578,212.462086
20.208042,0.483428,76.037157,98.568633,3.831280,199.129372
20.247913,0.461424,66.671528,78.289560,3.365184,169.036361
19.437581,0.478178,64.963506,67.657924,3.357521,155.895303
18.616868,0.468945,67.785020,83.935888,3.225011,174.032163
18.516823,0.447870,71.119722,69.829895,2.370632,162.285469
18.215285,0.779908,79.344527,108.442870,2.526486,209.309791
18.246422,0.483042,77.972450,87.688971,2.381823,186.773186
18.195589,0.655394,86.959606,125.629590,2.437786,233.878609
18.148698,0.550520,88.466308,100.855424,2.498293,210.519887
17.482976,0.711453,95.085586,147.686631,2.683444,263.650571
17.619361,0.575811,86.088751,100.626985,2.832451,207.744179
17.476205,0.600551,77.041264,101.736206,2.805125,199.659994
17.941181,0.453854,83.072490,107.851766,2.798954,212.118872
17.956511,0.434301,80.973640,115.986327,3.042355,218.393858
17.835444,0.529518,78.702274,167.224667,3.168973,267.461685
17.926376,0.487994,77.335721,130.101030,3.475083,229.326974
18.584308,0.477285,86.202141,135.392535,3.391604,244.048452
18.367533,0.505014,74.436505,140.757755,3.505468,237.572816
18.219799,0.463729,81.978258,149.241401,3.725685,253.629506
18.882224,0.574673,86.367930,164.057847,4.046053,273.929898
18.624414,0.716487,93.445036,162.089462,4.219767,279.095825
18.301277,0.638258,82.670215,139.739375,4.068801,245.418574
18.177673,0.584523,84.667178,144.047024,4.540971,252.018016
18.677102,0.539614,85.305618,159.277655,3.836293,267.637092
19.910420,0.502870,88.985653,158.756452,4.412910,272.569226
20.117809,0.580669,91.586409,230.517438,4.802857,347.605906
21.182730,0.531733,89.808588,178.969871,4.967790,295.461323
20.681503,0.469665,96.511160,277.727555,5.261865,400.652423
34.200221,0.588715,98.995357,198.794259,19.066798,351.649969
28.543152,0.674177,88.931888,194.922010,5.547021,318.619136
23.951055,0.487279,76.281407,107.761663,2.869829,211.351817
21.631986,0.421189,72.346756,101.080493,2.696279,198.177505
20.328384,0.375407,67.944947,109.269896,7.343482,205.262632
20.524143,0.537226,55.938689,102.470266,2.635620,182.106472
19.557027,0.340024,53.464247,73.563515,2.301549,149.227096
19.624342,0.396359,51.124209,109.527993,2.180763,182.854251
19.657180,0.454802,57.508371,103.809062,2.264552,183.694795
18.803795,0.420261,59.555450,111.076299,2.284824,192.141357
18.292188,0.609982,61.259894,101.311432,2.484184,183.958277
18.832333,0.720878,62.226532,120.522415,2.474626,204.777715
18.103629,0.461307,64.313156,91.117167,2.592042,176.587886
24.055788,0.669927,69.666096,95.540153,2.715829,192.648415
20.906724,0.448034,68.288082,100.085629,2.807296,192.536344
19.778108,0.444242,67.278942,104.078923,2.706565,194.287851
19.264421,0.444335,65.514919,101.239480,2.795653,189.259430
19.064654,0.664853,74.369454,100.568078,2.793752,197.461431
18.258648,0.444774,62.696113,115.265559,3.107642,199.773245
17.983337,0.530975,66.897816,127.718507,2.893834,216.025068
18.378489,0.475909,66.709335,77.858774,2.978180,166.401487
18.219204,0.478200,72.841695,81.771986,2.936112,176.247810
18.533725,0.512063,74.561529,120.749561,3.115627,217.473307
17.937907,0.520176,70.807698,71.630864,3.035275,163.932460
17.887396,0.653932,73.164214,104.849459,3.231590,199.787205
16.540564,0.519452,64.065068,69.076994,3.123437,153.326064
16.953195,0.508956,73.028107,107.948219,3.359021,201.798082
16.997994,0.489286,77.563533,116.357043,13.189367,224.597810
16.784485,0.599487,84.536871,87.816097,3.549022,193.286568
17.263149,0.589370,83.670643,124.228596,3.961500,229.713980
16.788095,0.563437,80.280256,88.628772,4.080780,190.342083
16.668716,0.622284,77.855558,104.650699,3.847609,203.645626
16.378942,0.544049,79.790265,76.940499,3.806586,177.460878
16.345571,0.513647,86.099619,106.540779,4.014845,213.515167
16.003138,0.593213,73.248576,89.852792,4.448866,184.147240
16.492605,0.575297,76.423170,79.306613,4.046792,176.845184
16.797789,0.535284,86.464142,84.083262,4.192368,192.073774
17.141710,0.485477,87.039208,94.275675,4.424268,203.367289
16.294852,0.510644,75.624400,115.716409,3.976892,212.123837
17.015852,0.535840,91.746976,92.465985,4.943886,206.709101
16.763470,0.558282,80.798040,120.767721,4.856362,223.744792
16.873344,0.552762,78.867366,153.250228,3.199437,252.743828
17.090286,0.600478,82.665306,134.196316,4.942437,239.495409
17.501920,0.521825,87.072937,108.734240,5.489787,219.321383
17.465427,0.526303,82.839826,158.990737,5.477419,265.300451
